CUI	               Name	               Odds ratio (ASD vs Non-psychiatric)	               Odds ratio (ASD vs Psychiatric)	               Frequency (%, positive, ASD)	               Frequency (%,negative, ASD)	               Frequency (%,positive, Non-psychiatric)	               Frequency (%,negative, Non-psychiatric)	               Frequency (%,positive, Psychiatric)	               Frequency (%,negative, Psychiatric)	               TUI	      
              Similarity	                Seed NER
C1837653	Inflexible adherence to routines or rituals	1057.5339	1057.5339	11.0956	0.1863	0.7712	0.0126	0.0118	0.0	T033	0.9505	inflexible adherence to routines or rituals
C4021798	Impaired use of nonverbal behaviours	899.1956	899.1956	9.5937	0.0349	0.708	0.0	0.0118	0.0	T048	0.6363	ritualized behaviors
C2018050	speech nonverbal communication skills facial expressions	857.1381	857.1381	9.1862	0.0	0.6195	0.0	0.0118	0.0	T033	0.713	facial expressions
C4064026	social/emotional reciprocity appears deaf	459.7162	459.7162	5.1461	0.1164	0.2276	0.0379	0.0	0.0	T033	0.5585	social reciprocity
C0028325	nonverbal communications	365.0825	365.0825	14.7049	0.3376	1.2769	0.0379	0.0472	0.0236	T041	0.8271	integrated verbal and nonverbal communication
C0236827	Mixed receptive-expressive language disorder	328.9779	328.9779	3.7373	0.1164	0.6574	0.0	0.0	0.0	T048	0.7301	receptive & expressive language difficulties
C0424271	Resistance to change	290.8345	290.8345	9.3375	0.0116	0.6321	0.0	0.0354	0.0	T033	0.5791	resistant to change
C0813217	Expressionless face	225.8636	225.8636	2.5963	0.0233	0.1011	0.0	0.0	0.0	T033	0.957	expressionless face
C0558264	Finding relating to non-verbal communication	217.5564	217.5564	2.5032	0.0349	0.1138	0.0	0.0118	0.0	T033	0.9015	non-verbal communication
C2610222	irritable aggressive behavior	212.9027	212.9027	4.7852	0.6287	0.2402	0.0632	0.0236	0.0	T055	0.7564	aggressive behavior
C0005892	Body language	203.0504	203.0504	2.3402	0.0349	0.1011	0.0126	0.0	0.0	T054	1.0	delayed; language
C0018939	hematological disease	172.1273	172.1273	1.9909	0.8034	0.0885	0.0759	0.0118	0.0118	T047	0.5117	gastrointestinal diseases
C0036674	Deprivations, Sensory	167.1364	167.1364	3.7956	0.0466	0.2528	0.0379	0.0236	0.0118	T033	0.5009	sensory intolerance
C3166145	PhenX measure - symptoms of autism spectrum disorders	132.2544	132.2544	1.5368	0.0116	0.0885	0.0253	0.0	0.0	T184	0.6191	autism spectrum disorder related condition
C0517127	Plays interactive games with peers	128.1922	128.1922	1.4903	0.0233	0.0885	0.0	0.0	0.0	T033	0.6131	doesn't play games with family members or friends
C4064035	social interaction impairment in social/emotional reciprocity	121.0815	121.0815	1.4088	0.0233	0.0506	0.0126	0.0118	0.0	T033	0.7508	impairment of non-verval social interaction
